PartitionKey,RowKey,Timestamp,ShortName,ShortName@type,LongName,LongName@type,Url,Url@type,Profile,Profile@type
$ers-N-¢s,ersns,2022-01-16T07:22:15.244Z,$ers-N-¢s,Edm.String,"$ers-N-¢s Entertainment, Inc.",Edm.String,,Edm.String,"This company name was used on a select few releases from the American hip-hop artist Bushwick Bill in the years 2005 and 2008. These releases were also associated with Lightyear Entertainment, Adex Records, and G Spot Productionz.",Edm.String
1EpicCheck,1epiccheck,2022-01-16T07:25:01.256Z,#1EpicCheck,Edm.String,#1EpicCheck,Edm.String,,Edm.String,"The name #1EpicCheck appears to be associated with the American hip-hop artist D.R.A.M., if not an actual company. It can be found associated with his 2016 breakout single ""Broccoli"" with Lil Yachty, as well as his 2015 release #1 Epic EP. These releases are also associated with the Empire label from San Francisco, CA.",Edm.String
2 Soul,2soul,2022-01-16T07:27:37.224Z,2 Soul,Edm.String,2 Soul Records,Edm.String,,Edm.String,"2 Soul Records was a vanity label for Amy Winehouse, most notable for release her ""The Ska EP"" covers 7"".",Edm.String
2K,2k,2022-01-16T07:29:03.836Z,2K,Edm.String,2K Games,Edm.String,www.2k.com,Edm.String,"2K Games is an American video game publisher and subsidiary of Take-Two Interactive. It was created on January 25, 2005 after Take-Two acquired developer Visual Concepts and its wholly owned subsidiary Kush Games from Sega. The name comes from Visual Concepts' sports game lineup, typically referred to as the ""2K Series"". 2K's video game releases often have musical tie-ins, as is the norm for modern high-concept video games.",Edm.String
3 On The B,3ontheb,2022-01-16T07:30:07.980Z,3 On The B,Edm.String,3 On The B Records,Edm.String,www.newmastersounds.com,Edm.String,"3 On The B Records is an independent label that was created to release music by the British jazz/fusion/funk band The New Mastersounds. It first release was the band's 2005 album ""Be Yourself"" (3BRDC001).",Edm.String
4AD,4ad,2022-01-16T07:31:25.861Z,4AD,Edm.String,4AD Ltd.,Edm.String,www.4ad.com,Edm.String,"The influential 4AD label was started in 1980 by musical enthusiasts Ivo Watts-Russell and Peter Kent, with financial help from UK-based Beggars Banquet Group, whose record store chain the pair worked for. The label was originally called Axis (after the Jimi Hendrix album) for its original run of 7"" singles, but had to be renamed after finding out the name had already been used for an existing label. The partners had to quickly come up with a new name, and noticed some typography that their graphic designer had put on a flyer announcing the Axis releases that said ""4AD"" which they then chose as the new name. The label gained prominence in the 1980s for releasing albums from alternative rock, post-punk, gothic rock and dream pop artists, such as Bauhaus, Cocteau Twins, Modern English, Dead Can Dance, Clan Of Xymox, Pixies, Throwing Muses, Belly and Watts-Russell's own musical project This Mortal Coil. In 1987, the label scored an international hit with the dance music single ""Pump Up The Volume"" by the one-off project M|A|R|R|S. 4AD continued to have success in the 1990s and 2000s with releases from The Breeders, Lush, Red House Painters, Camera Obscura, TV On The Radio, St. Vincent and Bon Iver. As of July 2021, the label's roster includes acts such as The National, Beirut, Daughter, Deerhunter, Big Thief, Purity Ring and Future Islands. In 1999, Watts-Russell sold the 4AD back catalog to the Beggars Group.",Edm.String
4th & Broadway,4thbroadway,2022-01-16T07:32:21.578Z,4th & Broadway,Edm.String,4th & Broadway,Edm.String,www.4thandbroadway.com,Edm.String,"4th & Broadway was a US-based dance label established by Island Records in January 1984. In the UK, the brand was known as Fourth & Broadway until sometime around 1986/1987 when center labels switched to the more widely known 4th & B'way logo.",Edm.String
5 Points,5points,2022-01-16T07:34:00.119Z,5 Points,Edm.String,5 Points Records,Edm.String,www.5pointsrecords.com,Edm.String,"Founded by award-winning composer and producer David Nichtern, 5 Points Records is a privately-held label based in New York City, NY (USA) with a strong commitment to releasing artists that represent the best in electronic and indie music. 5 Points releases records from artists who represent a variety of musical styles and influences. 5 Points Records is distributed in the United States by ADA (Alternative Distribution Alliance).",Edm.String
5 Rue Christine,5ruechristine,2022-01-16T07:34:51.383Z,5 Rue Christine,Edm.String,5 Rue Christine,Edm.String,,Edm.String,"5 Rue Christine (also known as 5RC) is a semi-defunct Olympia, Washington based independent record label, formed as a spin-off from the Kill Rock Stars label in 1997. Before its dormancy, it had become a premier label for experimental rock bands.",Edm.String
6.8.2,682,2022-01-16T07:38:46.098Z,6.8.2,Edm.String,6.8.2 Records,Edm.String,www.682records.com,Edm.String,6.8.2 Records released albums from classic hip-hop artists like KRS-One and Sadat X from 2011 to 2013.,Edm.String
